,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
0,A002,419971,0,0,0,419971,0.0,0.0
1,A007,802011,12,2,10,802001,14.962388296419874,2.493762476605391
2,A013,394675,11,2,9,394666,27.871033128523468,5.067576127662378
3,A030,400094,0,0,0,400094,0.0,0.0
4,A058,379324,0,0,0,379324,0.0,0.0
5,A098,396159,1,1,0,396159,2.524239005045954,2.524239005045954
6,C.012.1,355151,4,4,0,355151,11.262814971659942,11.262814971659942
7,C.013.1,170199,1,1,0,170199,5.875475179055106,5.875475179055106
8,C.019.1,306765,3,3,0,306765,9.779472886411423,9.779472886411423
9,C.025.1,220872,0,0,0,220872,0.0,0.0
10,C.026.1,282203,3,2,1,282202,10.630645315606142,7.087121990630825
11,C.035.1,140374,0,0,0,140374,0.0,0.0
12,C.036.1,206231,0,0,0,206231,0.0,0.0
13,C.046.1,102651,5,5,0,102651,48.708731527213565,48.708731527213565
14,C.052.1,203433,2,2,0,203433,9.83124665123161,9.83124665123161
15,C.057.1,29229,0,0,0,29229,0.0,0.0
16,C.063.1,235331,2,2,0,235331,8.49866783381705,8.49866783381705
17,C7,49120,0,0,0,49120,0.0,0.0
18,COS1,923780,24,4,20,923760,25.980211738725668,4.330129037845327
19,COS2,602828,7,2,5,602823,11.611935742865295,3.3177234445268344
20,COS3,799900,0,0,0,799900,0.0,0.0
21,COS4,1024925,1,1,0,1024925,0.9756811474010294,0.9756811474010294
22,Ctl1,233879,0,0,0,233879,0.0,0.0
23,Ctl2,428596,1,1,0,428596,2.3331995632250417,2.3331995632250417
24,Ctl3,318223,0,0,0,318223,0.0,0.0
25,Ctl4,258693,1,1,0,258693,3.8655858488633243,3.8655858488633243
26,Donor-157,293791,1,1,0,293791,3.403780238332692,3.403780238332692
27,Donor-2,62441,0,0,0,62441,0.0,0.0
28,Donor-3,435489,10,10,0,435489,22.96269251347336,22.96269251347336
29,Donor-4,130071,0,0,0,130071,0.0,0.0
30,Donor-5,283849,1,1,0,283849,3.5229999048790024,3.5229999048790024
31,Donor-6,253298,0,0,0,253298,0.0,0.0
32,Donor-HD1,1363697,0,0,0,1363697,0.0,0.0
33,Donor-HD3,2036125,0,0,0,2036125,0.0,0.0
34,H1,643900,0,0,0,643900,0.0,0.0
35,HD07,315863,0,0,0,315863,0.0,0.0
36,HD1,181425347,3,2,1,181425346,0.016535726951096858,0.011023818028160189
37,HD10,354397,0,0,0,354397,0.0,0.0
38,HD13,265652,19,1,18,265634,71.5221417493563,3.7645783295813033
39,LP08248,236129,0,0,0,236129,0.0,0.0
40,LP23810,181392,1,1,0,181392,5.512922289847403,5.512922289847403
41,LP32647,124010,1,1,0,124010,8.0638658172728,8.0638658172728
42,P.190.1,124202,0,0,0,124202,0.0,0.0
43,P.191.1,26571,0,0,0,26571,0.0,0.0
44,Patient-H011,93966,3,1,2,93964,31.92644147883277,10.642373675024476
45,Patient-H012,42583,0,0,0,42583,0.0,0.0
46,Subject-1009,247349,0,0,0,247349,0.0,0.0
47,Subject-1010,234355,20,3,17,234338,85.34061573254252,12.802021012383822
48,Subject-1011,229498,3,2,1,229497,13.072009342129343,8.714710867680187
49,Subject-1015,222056,2,1,1,222055,9.006737039305401,4.503388800072054
50,Subject-1017,211489,0,0,0,211489,0.0,0.0
51,Subject-316188,58895283,227,13,214,58895069,3.8542984843115535,0.22073155224591043
52,Subject-326650,77216556,535,54,481,77216075,6.928565941221206,0.6993362457234455
53,Subject-326651,157010895,834,198,636,157010259,5.311733303602913,1.2610640939073925
54,Subject-326713,132075912,653,244,409,132075503,4.944126374838131,1.8474281335881038
55,Subject-326737,94176505,285,22,263,94176242,3.026232498222354,0.23360456451426465
56,Subject-326780,117108038,334,29,305,117107733,2.852067250926021,0.2476352266165036
57,Subject-326797,99872859,420,31,389,99872470,4.205346719873114,0.3103958478247309
58,Subject-326907,33686764,613,15,598,33686166,18.19705804926825,0.44528664971846305
59,Subject-327059,102853434,604,79,525,102852909,5.872433972403877,0.7680871719437707
60,Subject-BD1,8633933,0,0,0,8633933,0.0,0.0
61,Subject-BD1+3+4,2700689,7,5,2,2700687,2.5919311701569487,1.8513807782982628
62,Subject-BD10,302689,0,0,0,302689,0.0,0.0
63,Subject-BD12,443315,0,0,0,443315,0.0,0.0
64,Subject-BD14,1074780,0,0,0,1074780,0.0,0.0
65,Subject-BD1h,2300336,25,4,21,2300315,10.867977547627824,1.7388922821439672
66,Subject-BD2r,747335,2,2,0,747335,2.6761760120963154,2.6761760120963154
67,Subject-BD3,1843944,909,26,883,1843061,492.9650791998021,14.106966616948652
68,Subject-BD3h,896567,0,0,0,896567,0.0,0.0
